image_filename,ground_truth_found,error_message,gt_question,ocr_question,question_CER,question_WER,gt_answer_A,ocr_answer_A,answer_A_CER,answer_A_WER,gt_answer_B,ocr_answer_B,answer_B_CER,answer_B_WER,gt_answer_C,ocr_answer_C,answer_C_CER,answer_C_WER,gt_answer_D,ocr_answer_D,answer_D_CER,answer_D_WER
image_11.png,True,,Which of the following would NOT be a section in a Muggle newspaper?,Which of the following would NOT be a section in a Muggle newspaper?,0.0,0.0,National News,National News,0.0,0.0,Sports,Sports,0.0,0.0,Classifieds,Classifieds,0.0,0.0,Showizbiz,Showizbiz,0.0,0.0
image_12.png,True,,What is a microphone?,What is a microphone?,0.0,0.0,A Stick Imbued With the Amplifying Charm,A-Stick Imbued With the Amplifying Charm,0.025,0.2857142857142857,"A Device That Amplifies, Transmits, and Records Sounds","A. Device-That Amplifies, Transmits, and Records Sounds",0.037037037037037035,0.375,A Device That Detects Bad Breath,A Device That Detects Bad Breath,0.0,0.0,A Very Small Telephone,AVery Small Telephone,0.045454545454545456,0.5
image_13.png,True,,A recliner is what kind of furniture?,A recliner is what kind of furniture?,0.0,0.0,A Couch,A Couch,0.0,0.0,A Table,A Table,0.0,0.0,A Chair,A Chair,0.0,0.0,A Bed,A Bed,0.0,0.0
image_14.png,True,,"According to the Institute of Muggle Studies, which of the following statements about Muggles is FALSE?","According to the Institute of Muggle Studies, which of the following statements about Muggles are FALSE?",0.02912621359223301,0.0625,They Are Inferior to Wizards,They Are Inferior to Wizards,0.0,0.0,"If They Have a Wand, It Is Possible to Do Simple Magic","If They Have a Wand, It Is Possible to Do Simple Magic",0.0,0.0,They Can See Magical Creatures,They Can See Magical Creatures,0.0,0.0,They Can Inadvertently Stumble Upon Magically Protected Areas,They Can Inadvertently Stumble Upon Magically Protected Areas,0.0,0.0
image_15.png,True,,What is a pogo stick used for?,What is a pogo stick used for?,0.0,0.0,Jumping Up and Down,Jumping Up and Down,0.0,0.0,Herding Cattle,Herding Cattle,0.0,0.0,Accumulating Wealth,Accumulating Wealth,0.0,0.0,Mixing Drinks,Mixing Drinks,0.0,0.0
image_16.png,True,,Who or what is a projector?,Who or what is a projector?,0.0,0.0,A Person Who Often Projects Their Feelings Onto Others,A Person Who Often Projects Their Feelings Onto Others,0.0,0.0,A Divination Device,A Divination Device,0.0,0.0,A Device That Projects Images Onto a Screen,A Device That Projects Images Onto a Screen,0.0,0.0,A Device That Reviews and Stores Memories,A Device That Reviews and Stores Memories,0.0,0.0
image_17.png,True,,What is the primary purpose of a chainsaw?,What is the primary purpose of a chainsaw?,0.0,0.0,Cutting Chains,Cutting Chains,0.0,0.0,Making Armour,Making Armour,0.0,0.0,Making Chains,Making Chains,0.0,0.0,Felling Trees,Felling Trees,0.0,0.0
image_18.png,True,,What magical creatures are to blame for the sudden failure of new Muggle electrical goods?,What magical creatures are to blame for the sudden failure of new Muggle electrical goods?,0.0,0.0,Chizpurfles,Chizpurfles,0.0,0.0,Clabberts,Clabberts,0.0,0.0,Augureys,Augureys,0.0,0.0,Horklumps,Horklumps,0.0,0.0
image_19.png,True,,In which Muggle sport does one 'hit a home run'?,In which Muggle sport does one 'hit a home run'?,0.0,0.0,Baseball,Baseball,0.0,0.0,Basketball,Basketball,0.0,0.0,Football,Football,0.0,0.0,Cricket,Cricket,0.0,0.0
image_20.png,True,,An International Task Force was permanently stationed in Tibet due to frequent Muggle sightings of what magical creature?,An International Task Force was permanently stationed in Tibet due to frequent Muggle sightings of what magical creature?,0.0,0.0,Erkling,Erkling,0.0,0.0,Wampus Cat,Wampus Cat,0.0,0.0,Tebo,Tebo,0.0,0.0,Yeti,Yeti,0.0,0.0
image_21.png,True,,Which of the following would NOT be a section in a Muggle newspaper?,Which of the following would NOT be a section in a Muggle newspaper?,0.0,0.0,Sports,Sports,0.0,0.0,National News,National News,0.0,0.0,Classifieds,Classifieds,0.0,0.0,Showizbiz,Showizbiz,0.0,0.0
image_22.png,True,,Which of the following is NOT a Muggle educational institution?,Which of the following is NOT a Muggle educational institution?,0.0,0.0,Circus,Circus,0.0,0.0,Primary School,Primary School,0.0,0.0,University,University,0.0,0.0,High School,High School,0.0,0.0
image_23.png,True,,What do Muggles from London call their rapid transit system?,What do Muggles from London call their rapid transit system?,0.0,0.0,The Flume,The Flume,0.0,0.0,The Tube,The Tube,0.0,0.0,The Pipe,The Pipe,0.0,0.0,The Floo Network,The Floo Network,0.0,0.0
image_24.png,True,,What is a drain snake?,What is a drain snake?,0.0,0.0,A Tool Used to Dislodge Plumbing Clogs,A Tool Used to Dislodge Plumbing Clogs,0.0,0.0,An Unscrupulous Plumber,An Unscrupulous Plumber,0.0,0.0,A Serpent That Lives in Plumbing,A Serpent That Lives in Plumbing,0.0,0.0,A Hose,A Hose,0.0,0.0
image_25.png,True,,Basketball players score by shooting what into what?,Basketball players score by shooting what into what?,0.0,0.0,A Ball Into a High Basket,A Ball Into a High Basket,0.0,0.0,A Bat Into a Basket,A Bat Into a Basket,0.0,0.0,A Puck Into a Pillowcase,A Puck Into a Pillowcase,0.0,0.0,A Ball Into a Bathtub,A Ball Into a Bathtub,0.0,0.0
image_26.png,True,,What is the function of a rubber chicken?,What is the function of a rubber chicken?,0.0,0.0,Displaying as Fine Art,Displaying as Fine Art,0.0,0.0,Producing Rubber Eggs,Producing Rubber Eggs,0.0,0.0,Feeding Vegetarians,Feeding Vegetarians,0.0,0.0,Serving as a Comedic Prop,Serving as a Comedic Prop,0.0,0.0
image_27.png,True,,"If a Muggle wanted to light up a dark space, what might they use?","If a Muggle wanted to light up a dark space, what might they use?",0.0,0.0,The Wand-Lighting Charm,The Wand-Lighting Charm,0.0,0.0,A Flashlight,A Flashlight,0.0,0.0,Bioluminescence,Bioluminescence,0.0,0.0,A Router,A Router,0.0,0.0
image_28.png,True,,What is a battery?,What is a battery?,0.0,0.0,A Home for Bats,A Home for Bats,0.0,0.0,A Violent Crime,A Violent Crime,0.0,0.0,A Source of Electric Power,A Source of Electric Power,0.0,0.0,A Muggle Pet That Dies Easily,A Muggle Pet That Dies Easily,0.0,0.0
image_29.png,True,,Which of the following is NOT slang for a non-magical person who was born to non-magical parents?,Which of the following is NOT slang for a non-magical person who was born to non-magical parents?,0.0,0.0,Squib,Squib,0.0,0.0,No-Maj,No-Maj,0.0,0.0,Non-Magique,Non-Magique,0.0,0.0,Can't-Spell,Can't-Spell,0.0,0.0
image_30.png,True,,Which of the following is NOT a way Muggles celebrate Hallowe'en?,Which of the following is NOT a way Muggles celebrate Hallowe'en?,0.0,0.0,Making Mischief,Making Mischief,0.0,0.0,Going Door to Door for Treats,Going Door to Door for Treats,0.0,0.0,Dressing Up in Costumes,Dressing Up in Costumes,0.0,0.0,Decorating Eggs,Decorating Eggs,0.0,0.0
